PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1641824,Matas Buzelis,Matas,1610612741,CHI,21.0,77,28,49,0.364,29.2,5.8,12.5,0.463,2.2,6.4,0.349,2.4,3.1,0.786,1.0,4.8,5.8,2.1,2.1,0.7,1.5,0.7,2.3,2.6,16.3,-4.0,30.9,4,0,30.8,30,210,19,404,106,86,84,261,64,51,253,100,101,261,188,64,80,227,75,252,17,70,123,109,86,499,88,111,37,81,1
1630188,Jalen Smith,Jalen,1610612741,CHI,26.0,53,26,27,0.491,20.7,3.7,7.6,0.483,1.5,4.2,0.373,1.3,1.8,0.742,1.8,4.8,6.7,1.2,1.0,0.5,0.8,0.4,2.1,1.8,10.2,1.6,22.8,9,0,22.2,270,227,213,327,272,207,221,200,146,161,177,220,219,356,76,63,61,351,258,402,75,269,173,182,207,141,183,63,37,180,1
1630208,Nick Richards,Nick,1610612741,CHI,28.0,48,20,28,0.417,14.6,2.1,4.2,0.512,0.1,0.4,0.278,1.4,2.1,0.644,1.6,3.5,5.1,0.3,1.2,0.2,0.7,0.7,1.8,1.7,5.8,-2.8,13.7,4,0,13.0,305,298,201,374,396,362,389,130,481,499,430,212,180,472,94,149,132,535,214,507,104,75,249,199,359,452,357,111,37,361,2
1630581,Josh Giddey,Josh,1610612741,CHI,23.0,54,21,33,0.389,32.1,5.9,13.3,0.448,1.9,5.2,0.364,3.2,4.2,0.763,1.2,7.1,8.3,9.1,3.6,1.0,0.5,0.8,1.7,2.9,17.0,-3.5,41.6,28,13,39.4,263,284,130,394,49,80,69,319,102,97,195,65,56,311,142,16,33,3,6,116,151,50,291,81,75,477,21,13,2,27,1
1630171,Isaac Okoro,Isaac,1610612741,CHI,25.0,63,26,37,0.413,26.9,3.3,7.3,0.46,1.2,3.5,0.33,1.4,1.8,0.795,1.1,1.7,2.7,1.6,0.7,0.7,0.5,0.4,2.6,1.7,9.3,-5.3,17.8,0,0,17.1,185,227,89,377,152,233,234,275,228,206,321,205,217,244,165,391,329,291,357,245,171,208,68,201,234,534,276,273,37,270,1
1630172,Patrick Williams,Patrick,1610612741,CHI,24.0,71,24,47,0.338,20.3,2.4,6.5,0.374,1.3,3.7,0.351,0.7,1.0,0.716,0.7,2.3,3.0,1.4,1.0,0.6,0.4,0.4,1.3,0.9,6.9,-4.7,14.6,0,0,14.6,86,249,31,419,280,328,271,509,192,187,247,353,344,391,309,288,300,322,252,286,234,227,396,355,321,519,344,273,37,328,1
1628380,Zach Collins,Zach,1610612741,CHI,28.0,10,6,4,0.6,18.4,3.7,6.4,0.578,0.9,2.1,0.429,1.4,2.0,0.7,1.6,4.0,5.6,1.5,1.0,0.2,0.4,0.2,1.8,1.9,9.7,1.8,19.5,1,0,18.9,496,459,508,177,316,204,281,68,289,330,42,207,188,416,95,107,94,299,258,509,199,407,257,172,220,126,241,194,37,239,1
1631093,Jaden Ivey,Jaden,1610612741,CHI,24.0,37,23,14,0.622,18.1,3.1,6.9,0.445,1.4,3.6,0.373,1.0,1.3,0.809,0.6,1.8,2.5,1.8,1.1,0.6,0.4,0.5,1.4,1.1,8.5,0.7,16.1,0,0,16.2,373,261,393,158,323,261,247,327,184,196,176,274,294,220,322,364,364,257,236,299,221,170,360,315,256,194,310,273,37,295,2
1631159,Leonard Miller,Leonard,1610612741,CHI,22.0,45,18,27,0.4,15.2,3.0,5.6,0.548,0.7,2.1,0.326,0.9,1.2,0.75,1.2,2.7,3.9,0.8,0.7,0.4,0.3,0.3,1.4,0.9,7.6,0.0,14.9,3,0,14.4,324,320,213,383,381,266,320,88,335,329,336,318,321,336,155,236,214,433,356,435,266,343,368,365,287,241,337,127,37,334,2
1630644,Mac McClung,Mac,1610612741,CHI,27.0,10,2,8,0.2,11.7,1.9,5.2,0.365,0.5,2.6,0.192,1.1,1.4,0.786,0.2,0.8,1.0,1.0,0.9,1.0,0.3,0.2,1.6,0.9,5.4,-2.5,11.1,0,0,10.5,496,520,463,527,441,389,330,518,389,289,483,260,275,261,518,508,518,386,297,121,276,407,312,361,379,431,408,273,37,409,2
