PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,23,11,12,0.478,9.4,1.3,3.1,0.417,0.7,1.8,0.415,0.6,0.8,0.778,0.4,1.5,1.9,0.3,0.3,0.5,0.2,0.2,1.1,0.6,4.0,-0.8,8.5,0,0,8.3,431,402,415,335,480,455,446,420,321,370,66,393,408,285,435,411,431,543,519,363,386,434,430,442,440,313,466,273,37,459,1
1631260,AJ Green,AJ,1610612749,MIL,26.0,76,30,46,0.395,28.8,3.2,7.7,0.418,2.8,6.9,0.412,0.7,0.8,0.85,0.3,2.3,2.7,1.9,0.9,0.5,0.1,0.2,2.3,1.0,9.9,-2.0,16.8,0,0,18.5,41,193,34,390,113,248,218,417,23,34,69,372,405,131,460,284,335,244,282,389,456,426,128,331,212,406,299,273,37,252,1
1642358,AJ Johnson,AJ,1610612742,DAL,21.0,47,8,39,0.17,9.1,1.1,3.5,0.311,0.3,1.1,0.222,0.6,0.7,0.839,0.3,0.9,1.1,1.0,0.5,0.2,0.1,0.5,0.5,0.5,3.0,-1.0,6.2,0,0,6.0,315,436,73,540,482,486,419,546,451,434,468,410,431,152,479,501,506,404,425,499,496,172,532,473,479,330,494,273,37,496,2
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,36,27,9,0.75,27.9,5.5,11.1,0.497,1.7,4.4,0.389,3.5,4.5,0.767,1.4,4.4,5.8,2.7,1.1,0.6,0.3,0.4,1.7,3.4,16.2,7.6,28.7,4,0,28.1,378,220,450,42,129,101,118,164,127,148,127,53,52,302,114,84,82,160,246,321,295,245,271,67,87,12,115,111,37,112,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,55,37,18,0.673,13.7,1.9,4.5,0.415,1.2,3.0,0.392,0.6,0.7,0.872,0.2,0.8,1.0,1.1,0.7,0.5,0.1,0.1,1.3,0.8,5.5,2.0,9.3,0,0,9.9,251,128,342,95,407,392,369,426,220,251,116,387,417,100,510,518,529,379,376,399,474,474,393,387,371,120,443,273,37,423,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,45,10,35,0.222,29.7,4.7,11.4,0.414,2.3,6.2,0.379,2.0,2.5,0.829,1.1,3.1,4.2,1.9,1.4,0.6,0.5,0.8,2.8,2.6,13.8,-4.5,23.5,0,0,24.4,324,409,108,516,98,141,109,428,58,60,155,126,144,174,174,189,185,249,169,326,147,53,44,113,119,515,171,273,37,151,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,64,50,14,0.781,21.7,3.6,8.3,0.435,1.5,4.2,0.356,0.8,1.1,0.736,0.6,2.5,3.1,1.6,1.2,0.9,0.4,0.4,1.3,0.9,9.5,3.1,18.4,0,0,18.4,168,32,393,29,250,218,193,366,157,160,230,334,328,364,330,267,287,281,211,151,186,216,397,359,226,79,257,273,37,254,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,71,19,52,0.268,27.6,5.5,12.3,0.445,1.9,5.5,0.35,0.9,1.2,0.767,1.4,2.8,4.2,1.8,1.5,0.8,0.7,0.4,2.7,1.2,13.8,-6.0,24.7,1,0,24.8,86,310,13,473,135,103,87,326,101,83,252,305,311,301,107,228,179,258,155,185,100,241,54,293,120,542,155,194,37,140,1
1642380,Adama Bal,Adama,1610612763,MEM,22.0,8,1,7,0.125,30.2,3.5,8.5,0.412,2.3,5.5,0.409,1.1,1.3,0.9,0.8,2.4,3.1,2.4,0.8,1.1,0.1,0.5,3.4,1.4,10.4,-20.8,20.7,0,0,20.6,510,547,473,555,87,222,186,433,63,80,75,256,297,55,281,276,283,194,352,83,437,176,12,249,201,579,224,273,37,208,1
1641737,Adem Bona,Adem,1610612755,PHI,23.0,70,40,30,0.571,17.4,1.8,3.1,0.594,0.0,0.1,0.333,1.1,1.6,0.708,1.8,2.5,4.4,0.5,0.8,0.4,1.2,0.4,2.2,1.4,4.9,-0.3,14.8,1,0,12.9,100,99,168,208,334,395,449,60,498,525,294,253,238,412,79,253,174,517,335,408,31,254,154,246,403,277,339,194,37,363,1
