SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE
2026,1643587,Matthew,Able,Matthew Able,SG,75.75,6' 3.75'',,,195.80,80.25,6' 8.25'',103.0,8' 7.00'',,8.75,10.5,27.5,34.0,11.08,2.86,3.29,,,,,,,17-25,,,,,,,,,,,,,19-30,,,,13-25
2026,1643411,Darius,Acuff Jr.,Darius Acuff Jr.,PG,74.0,6' 2.00'',,,185.80,78.5,6' 6.50'',98.5,8' 2.50'',,8.5,9.25,31.5,36.5,10.99,2.93,3.06,,,,,,,19-25,,,,,,,,,,,,,24-30,,,,13-25
2026,1643533,Amari,Allen,Amari Allen,SF,77.25,6' 5.25'',,,204.60,80.0,6' 8.00'',99.5,8' 3.50'',,8.25,9.25,34.5,42.5,10.72,2.94,3.19,,,,,,,13-25,,,,,,,,,,,,,20-30,,,,13-25
2026,1643417,Nathaniel,Ament,Nathaniel Ament,PF,81.5,6' 9.50'',,,210.80,83.5,6' 11.50'',109.5,9' 1.50'',,8.5,9.5,31.0,37.0,11.27,2.85,3.26,,,,,,,16-25,,,,,,,,,,,,,22-30,,,,13-25
2026,1643515,Christian,Anderson,Christian Anderson,PG,73.0,6' 1.00'',,,180.40,78.25,6' 6.25'',96.5,8' 0.50'',,8.5,8.25,31.0,40.5,10.85,2.85,3.18,,,,,,,17-25,,,,,,,,,,,,,27-30,,,,17-25
2026,1643591,Tobe,Awaka,Tobe Awaka,C,80.0,6' 8.00'',,,261.40,86.25,7' 2.25'',105.0,8' 9.00'',,9.25,10.0,32.5,37.5,10.94,3.02,3.19,,,,,,,13-25,,,,,,,,,,,,,19-30,,,,9-25
2026,1643540,Flory,Bidunga,Flory Bidunga,C,79.75,6' 7.75'',,,228.60,87.25,7' 3.25'',106.5,8' 10.50'',,9.25,10.5,34.0,40.5,11.24,2.78,3.19,,,,,,,15-25,,,,,,,,,,,,,8-30,,,,13-25
2026,1643548,Tyler,Bilodeau,Tyler Bilodeau,PF,79.25,6' 7.25'',,,228.20,84.75,7' 0.75'',107.0,8' 11.00'',,9.0,9.5,,,,,,,,,,,,19-25,,,,,,,,,,,,,19-30,,,,16-25
2026,1643612,John,Blackwell,John Blackwell,SG,75.25,6' 3.25'',,,199.60,74.25,6' 2.25'',98.0,8' 2.00'',,8.25,9.5,28.0,35.5,11.23,3.08,3.17,,,,,,,16-25,,,,,,,,,,,,,18-30,,,,15-25
2026,1643409,Cameron,Boozer,Cameron Boozer,PF,80.25,6' 8.25'',,,252.80,85.5,7' 1.50'',108.0,9' 0.00'',,8.75,9.75,28.5,35.0,11.06,2.99,3.31,,,,,,,19-25,,,,,,,,,,,,,18-30,,,,11-25
