PLAYER_NAME,POSITION,SCHOOL_OR_TEAM,PROJECTED_PICK_MIN,PROJECTED_PICK_MAX,DRAFT_RANGE,PROSPECT_ROLE,CRAFTEDNBA_RANK,CRAFTEDNBA_SOURCE_URL,CRAFTEDNBA_SOURCE_NOTES,STAT_SEASON,STAT_TEAM,GP,MPG,AGE,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,STAT_SOURCE_NAME,STAT_SOURCE_URL,STAT_SOURCE_NOTES,HAS_OFFICIAL_COMBINE,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,MEASUREMENT_SOURCE,MEASUREMENT_NOTES,COMBINE_SOURCE_URL,physical_score,college_production_score,prospect_eval_score,NOTES
Cameron Boozer,PF,Duke,1,4,top_4,frontcourt_star,3.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Duke,38.0,33.4,18.0,22.5,10.2,4.1,1.4,0.6,0.556,0.391,0.789,Sports Reference,https://www.sports-reference.com/cbb/players/cameron-boozer-3.html,Season stat table verified from Sports Reference.,True,80.25,252.8,85.5,108.0,35.0,11.06,3.31,nba_combine,,https://www.nba.com/stats/draft/combine-anthro,0.28055582422473796,0.9136810761385616,0.5971184501816498,Elite production forward.
Caleb Wilson,F,North Carolina,3,6,bulls_pick_4,athletic_forward_defender,4.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,North Carolina,24.0,31.3,,19.8,9.4,2.7,1.5,1.4,0.578,0.259,0.713,Wikipedia career statistics,https://en.wikipedia.org/wiki/Caleb_Wilson_(basketball),Career statistics table verified from page.,True,81.25,210.8,84.25,108.0,39.5,11.17,3.23,nba_combine,,https://www.nba.com/stats/draft/combine-anthro,0.24949586346530417,0.4857550255471723,0.36762544450623824,Potential pick 4 frontcourt/wing option.
AJ Dybantsa,F,BYU,1,3,top_3,primary_wing_creator,2.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,BYU,35.0,34.8,,25.5,6.8,3.7,1.1,0.3,0.51,0.331,0.774,Sports Reference,https://www.sports-reference.com/cbb/players/aj-dybantsa-1.html,Season stat table verified from Sports Reference.,True,80.5,217.0,84.5,106.0,42.0,11.06,3.14,,,https://www.nba.com/stats/draft/combine-anthro,0.4071623541056927,0.2968294494945928,0.35199590180014273,Likely unavailable at Bulls pick 4 unless he falls.
Yaxel Lendeborg,F,Michigan,10,22,pick_15,older_two_way_forward,10.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Michigan,40.0,30.2,,15.1,6.8,3.2,1.1,1.2,0.515,0.372,0.824,Wikipedia career statistics,https://en.wikipedia.org/wiki/Yaxel_Lendeborg,Career statistics table verified from page.,True,80.75,241.4,87.25,108.5,32.0,10.82,3.35,nba_combine,,https://www.nba.com/stats/draft/combine-anthro,0.31917613202958206,0.16831360496757575,0.2437448684985789,Older forward; potentially more NBA-ready.
Cameron Carr,G/F,Baylor,10,22,pick_15,scoring_wing,21.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Baylor,,,21.0,18.9,5.8,2.4,,1.3,,0.37,,Wikipedia + Peachtree Hoops,https://en.wikipedia.org/wiki/Cameron_Carr_(basketball); https://www.peachtreehoops.com/atlanta-hawks-nba-draft/71798/2026-nba-draft-scouting-report-cameron-carr,PPG/RPG/APG verified from Wikipedia page; BPG and 3P% verified from Peachtree Hoops scouting report; unverified fields left blank.,True,76.5,184.4,84.75,104.0,42.5,10.46,3.17,nba_combine,,https://www.nba.com/stats/draft/combine-anthro,0.45455283682767517,,0.22727641841383758,Scoring wing.
Nate Ament,F,Tennessee,8,18,pick_15,stretch_forward,9.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Tennessee,,,,15.2,6.9,2.8,1.4,,0.38,0.304,,Bullets Forever scouting report,https://www.bulletsforever.com/nba-draft/66966/2026-nba-draft-preview-nate-ament,Scouting report verifies PPG/RPG/APG/SPG/FG%/3P%; unverified fields left blank.,True,81.5,210.8,83.5,109.5,37.0,11.27,3.26,,,https://www.nba.com/stats/draft/combine-anthro,0.10751675996213975,,0.05375837998106987,Forward with shooting/size appeal.
Aday Mara,C,Michigan,8,18,pick_15,rim_protecting_big,29.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Michigan,40.0,23.4,,12.1,6.8,2.4,0.4,2.6,0.668,0.3,0.564,Wikipedia career statistics,https://en.wikipedia.org/wiki/Aday_Mara,Career statistics table verified from page.,True,87.0,259.8,90.0,117.0,28.0,11.47,3.61,nba_combine,,https://www.nba.com/stats/draft/combine-anthro,0.36065881053313903,-0.25892696831294243,0.0508659211100983,Possible pick 15 size/rim protection option.
Chris Cenac Jr.,F/C,Houston,4,10,bulls_pick_4,rim_running_big,18.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Houston,37.0,24.8,,9.5,7.9,0.7,0.8,0.5,0.485,0.333,0.621,Wikipedia career statistics,https://en.wikipedia.org/wiki/Chris_Cenac,Career statistics table verified from page.,True,82.25,239.6,89.0,108.5,37.0,10.76,3.27,,,https://www.nba.com/stats/draft/combine-anthro,0.7273331228066302,-0.6914342048384681,0.017949458984081068,Potential frontcourt upside target.
Jayden Quaintance,F/C,Kentucky,6,14,lottery,rim_protecting_big,7.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Kentucky,4.0,,,5.0,5.0,,,,0.571,,,Peachtree Hoops scouting report,https://www.peachtreehoops.com/atlanta-hawks-nba-draft/71377/2026-nba-draft-scouting-report-jayden-quaintance-atlanta-hawks-profile-stats-breakdown,Most recent Kentucky sample verified as four games with 5.0 PPG/5.0 RPG and 57.1 FG%; other box-score fields left blank because source did not verify them.,True,81.0,253.4,89.25,109.0,,,,nba_combine,,https://www.nba.com/stats/draft/combine-anthro,,,0.0,Big/defensive upside; limited 2025-26 sample due knee issues.
Mikel Brown Jr.,G,Louisville,5,14,lottery,lead_guard_creator,6.0,https://craftednba.com/draft/prospects,Rank from CraftedNBA 2026 NBA Draft Prospect Stats public big board snapshot.,2025-26,Louisville,,,,18.2,,4.7,,,,,,Wikipedia college career section,https://en.wikipedia.org/wiki/Mikel_Brown_Jr.,Source verifies freshman PPG and APG only; other fields left blank.,True,75.5,190.2,79.5,100.5,39.5,10.57,3.24,,,https://www.nba.com/stats/draft/combine-anthro,-0.27481933105771084,,-0.13740966552885542,Lead guard prospect.
